year	u6
01/1994	11.7
02/1994	11.4
03/1994	11.5
04/1994	11.3
05/1994	10.9
06/1994	11
07/1994	10.8
08/1994	10.6
09/1994	10.4
10/1994	10.4
11/1994	10.1
12/1994	10.1
01/1995	10.1
02/1995	9.9
03/1995	9.9
04/1995	10.1
05/1995	10.1
06/1995	10.1
07/1995	10.1
08/1995	10.1
09/1995	10.2
10/1995	10
11/1995	10.1
12/1995	10
01/1996	9.8
02/1996	10
03/1996	9.9
04/1996	10
05/1996	9.8
06/1996	9.7
07/1996	9.7
08/1996	9.4
09/1996	9.5
10/1996	9.5
11/1996	9.4
12/1996	9.6
01/1997	9.4
02/1997	9.3
03/1997	9.1
04/1997	9.3
05/1997	8.9
06/1997	8.9
07/1997	8.7
08/1997	8.7
09/1997	8.7
10/1997	8.5
11/1997	8.4
12/1997	8.5
01/1998	8.4
02/1998	8.3
03/1998	8.4
04/1998	8
05/1998	8
06/1998	8.1
07/1998	8.2
08/1998	7.9
09/1998	8
10/1998	7.9
11/1998	7.7
12/1998	7.6
01/1999	7.6
02/1999	7.7
03/1999	7.5
04/1999	7.7
05/1999	7.4
06/1999	7.5
07/1999	7.5
08/1999	7.3
09/1999	7.4
10/1999	7.2
11/1999	7.2
12/1999	7.1
01/2000	7
02/2000	7.1
03/2000	7.1
04/2000	6.9
05/2000	7.1
06/2000	7
07/2000	7
08/2000	7.1
09/2000	7
10/2000	6.8
11/2000	7.1
12/2000	6.9
01/2001	7.3
02/2001	7.3
03/2001	7.3
04/2001	7.4
05/2001	7.5
06/2001	7.9
07/2001	7.9
08/2001	8.2
09/2001	8.7
10/2001	9.3
11/2001	9.4
12/2001	9.6
01/2002	9.4
02/2002	9.5
03/2002	9.4
04/2002	9.7
05/2002	9.6
06/2002	9.5
07/2002	9.6
08/2002	9.6
09/2002	9.6
10/2002	9.6
11/2002	9.8
12/2002	9.8
01/2003	9.9
02/2003	10.1
03/2003	10
04/2003	10.2
05/2003	10.1
06/2003	10.3
07/2003	10.3
08/2003	10.1
09/2003	10.4
10/2003	10.2
11/2003	10.1
12/2003	9.8
01/2004	9.8
02/2004	9.7
03/2004	10
04/2004	9.6
05/2004	9.7
06/2004	9.6
07/2004	9.5
08/2004	9.4
09/2004	9.4
10/2004	9.7
11/2004	9.4
12/2004	9.3
01/2005	9.2
02/2005	9.2
03/2005	9.1
04/2005	9
05/2005	8.9
06/2005	9
07/2005	8.8
08/2005	8.9
09/2005	9
10/2005	8.7
11/2005	8.7
12/2005	8.6
01/2006	8.4
02/2006	8.4
03/2006	8.2
04/2006	8.1
05/2006	8.2
06/2006	8.4
07/2006	8.5
08/2006	8.4
09/2006	8
10/2006	8.2
11/2006	8.1
12/2006	7.9
01/2007	8.3
02/2007	8.1
03/2007	8
04/2007	8.2
05/2007	8.2
06/2007	8.3
07/2007	8.4
08/2007	8.4
09/2007	8.4
10/2007	8.4
11/2007	8.5
12/2007	8.8
01/2008	9.1
02/2008	9
03/2008	9.1
04/2008	9.2
05/2008	9.7
06/2008	10
07/2008	10.5
08/2008	10.8
09/2008	11.1
10/2008	11.8
11/2008	12.7
12/2008	13.6
01/2009	14.1
02/2009	15.1
03/2009	15.8
04/2009	15.9
05/2009	16.5
06/2009	16.5
07/2009	16.4
08/2009	16.7
09/2009	16.7
10/2009	17.1
11/2009	17.1
12/2009	17.2
01/2010	16.6
02/2010	17
03/2010	17.1
04/2010	17.2
05/2010	16.7
06/2010	16.4
07/2010	16.4
08/2010	16.5
09/2010	16.9
10/2010	16.6
11/2010	16.9
12/2010	16.6
01/2011	16.1
02/2011	16
03/2011	16
04/2011	16.1
05/2011	15.9
06/2011	16.1
07/2011	15.9
08/2011	16.1
09/2011	16.4
10/2011	15.8
11/2011	15.6
12/2011	15.2
01/2012	15.1
02/2012	15
03/2012	14.6
04/2012	14.7
05/2012	14.8
06/2012	14.7
07/2012	14.7
08/2012	14.6
09/2012	14.8
10/2012	14.4
11/2012	14.4
12/2012	14.4
01/2013	14.5
02/2013	14.3
03/2013	13.9
04/2013	14
05/2013	13.9
06/2013	14.2
07/2013	13.8
08/2013	13.6
09/2013	13.5
10/2013	13.6
11/2013	13.1
12/2013	13.1
01/2014	12.6
02/2014	12.6
03/2014	12.7
04/2014	12.3
05/2014	12.3
06/2014	12
07/2014	12.1
08/2014	12
09/2014	11.7
10/2014	11.5
11/2014	11.4
12/2014	11.2
01/2015	11.2
02/2015	10.9
03/2015	10.9
04/2015	10.9
05/2015	10.9
06/2015	10.4
07/2015	10.3
08/2015	10.2
09/2015	10
10/2015	9.8
11/2015	10
12/2015	9.9
01/2016	9.7
02/2016	9.6
03/2016	9.8
04/2016	9.9
05/2016	9.9
06/2016	9.5
07/2016	9.6
08/2016	9.6
09/2016	9.7
10/2016	9.6
11/2016	9.4
12/2016	9.2
01/2017	9.2
02/2017	9.1
03/2017	8.8
04/2017	8.7
05/2017	8.6
06/2017	8.5
07/2017	8.4
08/2017	8.6
09/2017	8.3
10/2017	8.1
11/2017	8.1
12/2017	8.1
01/2018	8
02/2018	8.1
03/2018	8
04/2018	7.9
05/2018	7.8
06/2018	7.7
07/2018	7.4
08/2018	7.3
09/2018	7.5
10/2018	7.5
11/2018	7.6
12/2018	7.6
01/2019	8
02/2019	7.2
03/2019	7.4
04/2019	7.4
05/2019	7.2
06/2019	7.2
07/2019	6.9
08/2019	7.2
09/2019	6.9
10/2019	7
11/2019	6.9
12/2019	6.8
01/2020	6.9
02/2020	7
03/2020	8.8
04/2020	22.9
05/2020	21.2
06/2020	18
07/2020	16.5
08/2020	14.2
09/2020	12.8
10/2020	12.1
11/2020	12
12/2020	11.7
01/2021	11.1
02/2021	11.1
03/2021	10.7
04/2021	10.4
05/2021	10.2
06/2021	9.8
