year	u3
01/1948	3.4
02/1948	3.8
03/1948	4
04/1948	3.9
05/1948	3.5
06/1948	3.6
07/1948	3.6
08/1948	3.9
09/1948	3.8
10/1948	3.7
11/1948	3.8
12/1948	4
01/1949	4.3
02/1949	4.7
03/1949	5
04/1949	5.3
05/1949	6.1
06/1949	6.2
07/1949	6.7
08/1949	6.8
09/1949	6.6
10/1949	7.9
11/1949	6.4
12/1949	6.6
01/1950	6.5
02/1950	6.4
03/1950	6.3
04/1950	5.8
05/1950	5.5
06/1950	5.4
07/1950	5
08/1950	4.5
09/1950	4.4
10/1950	4.2
11/1950	4.2
12/1950	4.3
01/1951	3.7
02/1951	3.4
03/1951	3.4
04/1951	3.1
05/1951	3
06/1951	3.2
07/1951	3.1
08/1951	3.1
09/1951	3.3
10/1951	3.5
11/1951	3.5
12/1951	3.1
01/1952	3.2
02/1952	3.1
03/1952	2.9
04/1952	2.9
05/1952	3
06/1952	3
07/1952	3.2
08/1952	3.4
09/1952	3.1
10/1952	3
11/1952	2.8
12/1952	2.7
01/1953	2.9
02/1953	2.6
03/1953	2.6
04/1953	2.7
05/1953	2.5
06/1953	2.5
07/1953	2.6
08/1953	2.7
09/1953	2.9
10/1953	3.1
11/1953	3.5
12/1953	4.5
01/1954	4.9
02/1954	5.2
03/1954	5.7
04/1954	5.9
05/1954	5.9
06/1954	5.6
07/1954	5.8
08/1954	6
09/1954	6.1
10/1954	5.7
11/1954	5.3
12/1954	5
01/1955	4.9
02/1955	4.7
03/1955	4.6
04/1955	4.7
05/1955	4.3
06/1955	4.2
07/1955	4
08/1955	4.2
09/1955	4.1
10/1955	4.3
11/1955	4.2
12/1955	4.2
01/1956	4
02/1956	3.9
03/1956	4.2
04/1956	4
05/1956	4.3
06/1956	4.3
07/1956	4.4
08/1956	4.1
09/1956	3.9
10/1956	3.9
11/1956	4.3
12/1956	4.2
01/1957	4.2
02/1957	3.9
03/1957	3.7
04/1957	3.9
05/1957	4.1
06/1957	4.3
07/1957	4.2
08/1957	4.1
09/1957	4.4
10/1957	4.5
11/1957	5.1
12/1957	5.2
01/1958	5.8
02/1958	6.4
03/1958	6.7
04/1958	7.4
05/1958	7.4
06/1958	7.3
07/1958	7.5
08/1958	7.4
09/1958	7.1
10/1958	6.7
11/1958	6.2
12/1958	6.2
01/1959	6
02/1959	5.9
03/1959	5.6
04/1959	5.2
05/1959	5.1
06/1959	5
07/1959	5.1
08/1959	5.2
09/1959	5.5
10/1959	5.7
11/1959	5.8
12/1959	5.3
01/1960	5.2
02/1960	4.8
03/1960	5.4
04/1960	5.2
05/1960	5.1
06/1960	5.4
07/1960	5.5
08/1960	5.6
09/1960	5.5
10/1960	6.1
11/1960	6.1
12/1960	6.6
01/1961	6.6
02/1961	6.9
03/1961	6.9
04/1961	7
05/1961	7.1
06/1961	6.9
07/1961	7
08/1961	6.6
09/1961	6.7
10/1961	6.5
11/1961	6.1
12/1961	6
01/1962	5.8
02/1962	5.5
03/1962	5.6
04/1962	5.6
05/1962	5.5
06/1962	5.5
07/1962	5.4
08/1962	5.7
09/1962	5.6
10/1962	5.4
11/1962	5.7
12/1962	5.5
01/1963	5.7
02/1963	5.9
03/1963	5.7
04/1963	5.7
05/1963	5.9
06/1963	5.6
07/1963	5.6
08/1963	5.4
09/1963	5.5
10/1963	5.5
11/1963	5.7
12/1963	5.5
01/1964	5.6
02/1964	5.4
03/1964	5.4
04/1964	5.3
05/1964	5.1
06/1964	5.2
07/1964	4.9
08/1964	5
09/1964	5.1
10/1964	5.1
11/1964	4.8
12/1964	5
01/1965	4.9
02/1965	5.1
03/1965	4.7
04/1965	4.8
05/1965	4.6
06/1965	4.6
07/1965	4.4
08/1965	4.4
09/1965	4.3
10/1965	4.2
11/1965	4.1
12/1965	4
01/1966	4
02/1966	3.8
03/1966	3.8
04/1966	3.8
05/1966	3.9
06/1966	3.8
07/1966	3.8
08/1966	3.8
09/1966	3.7
10/1966	3.7
11/1966	3.6
12/1966	3.8
01/1967	3.9
02/1967	3.8
03/1967	3.8
04/1967	3.8
05/1967	3.8
06/1967	3.9
07/1967	3.8
08/1967	3.8
09/1967	3.8
10/1967	4
11/1967	3.9
12/1967	3.8
01/1968	3.7
02/1968	3.8
03/1968	3.7
04/1968	3.5
05/1968	3.5
06/1968	3.7
07/1968	3.7
08/1968	3.5
09/1968	3.4
10/1968	3.4
11/1968	3.4
12/1968	3.4
01/1969	3.4
02/1969	3.4
03/1969	3.4
04/1969	3.4
05/1969	3.4
06/1969	3.5
07/1969	3.5
08/1969	3.5
09/1969	3.7
10/1969	3.7
11/1969	3.5
12/1969	3.5
01/1970	3.9
02/1970	4.2
03/1970	4.4
04/1970	4.6
05/1970	4.8
06/1970	4.9
07/1970	5
08/1970	5.1
09/1970	5.4
10/1970	5.5
11/1970	5.9
12/1970	6.1
01/1971	5.9
02/1971	5.9
03/1971	6
04/1971	5.9
05/1971	5.9
06/1971	5.9
07/1971	6
08/1971	6.1
09/1971	6
10/1971	5.8
11/1971	6
12/1971	6
01/1972	5.8
02/1972	5.7
03/1972	5.8
04/1972	5.7
05/1972	5.7
06/1972	5.7
07/1972	5.6
08/1972	5.6
09/1972	5.5
10/1972	5.6
11/1972	5.3
12/1972	5.2
01/1973	4.9
02/1973	5
03/1973	4.9
04/1973	5
05/1973	4.9
06/1973	4.9
07/1973	4.8
08/1973	4.8
09/1973	4.8
10/1973	4.6
11/1973	4.8
12/1973	4.9
01/1974	5.1
02/1974	5.2
03/1974	5.1
04/1974	5.1
05/1974	5.1
06/1974	5.4
07/1974	5.5
08/1974	5.5
09/1974	5.9
10/1974	6
11/1974	6.6
12/1974	7.2
01/1975	8.1
02/1975	8.1
03/1975	8.6
04/1975	8.8
05/1975	9
06/1975	8.8
07/1975	8.6
08/1975	8.4
09/1975	8.4
10/1975	8.4
11/1975	8.3
12/1975	8.2
01/1976	7.9
02/1976	7.7
03/1976	7.6
04/1976	7.7
05/1976	7.4
06/1976	7.6
07/1976	7.8
08/1976	7.8
09/1976	7.6
10/1976	7.7
11/1976	7.8
12/1976	7.8
01/1977	7.5
02/1977	7.6
03/1977	7.4
04/1977	7.2
05/1977	7
06/1977	7.2
07/1977	6.9
08/1977	7
09/1977	6.8
10/1977	6.8
11/1977	6.8
12/1977	6.4
01/1978	6.4
02/1978	6.3
03/1978	6.3
04/1978	6.1
05/1978	6
06/1978	5.9
07/1978	6.2
08/1978	5.9
09/1978	6
10/1978	5.8
11/1978	5.9
12/1978	6
01/1979	5.9
02/1979	5.9
03/1979	5.8
04/1979	5.8
05/1979	5.6
06/1979	5.7
07/1979	5.7
08/1979	6
09/1979	5.9
10/1979	6
11/1979	5.9
12/1979	6
01/1980	6.3
02/1980	6.3
03/1980	6.3
04/1980	6.9
05/1980	7.5
06/1980	7.6
07/1980	7.8
08/1980	7.7
09/1980	7.5
10/1980	7.5
11/1980	7.5
12/1980	7.2
01/1981	7.5
02/1981	7.4
03/1981	7.4
04/1981	7.2
05/1981	7.5
06/1981	7.5
07/1981	7.2
08/1981	7.4
09/1981	7.6
10/1981	7.9
11/1981	8.3
12/1981	8.5
01/1982	8.6
02/1982	8.9
03/1982	9
04/1982	9.3
05/1982	9.4
06/1982	9.6
07/1982	9.8
08/1982	9.8
09/1982	10.1
10/1982	10.4
11/1982	10.8
12/1982	10.8
01/1983	10.4
02/1983	10.4
03/1983	10.3
04/1983	10.2
05/1983	10.1
06/1983	10.1
07/1983	9.4
08/1983	9.5
09/1983	9.2
10/1983	8.8
11/1983	8.5
12/1983	8.3
01/1984	8
02/1984	7.8
03/1984	7.8
04/1984	7.7
05/1984	7.4
06/1984	7.2
07/1984	7.5
08/1984	7.5
09/1984	7.3
10/1984	7.4
11/1984	7.2
12/1984	7.3
01/1985	7.3
02/1985	7.2
03/1985	7.2
04/1985	7.3
05/1985	7.2
06/1985	7.4
07/1985	7.4
08/1985	7.1
09/1985	7.1
10/1985	7.1
11/1985	7
12/1985	7
01/1986	6.7
02/1986	7.2
03/1986	7.2
04/1986	7.1
05/1986	7.2
06/1986	7.2
07/1986	7
08/1986	6.9
09/1986	7
10/1986	7
11/1986	6.9
12/1986	6.6
01/1987	6.6
02/1987	6.6
03/1987	6.6
04/1987	6.3
05/1987	6.3
06/1987	6.2
07/1987	6.1
08/1987	6
09/1987	5.9
10/1987	6
11/1987	5.8
12/1987	5.7
01/1988	5.7
02/1988	5.7
03/1988	5.7
04/1988	5.4
05/1988	5.6
06/1988	5.4
07/1988	5.4
08/1988	5.6
09/1988	5.4
10/1988	5.4
11/1988	5.3
12/1988	5.3
01/1989	5.4
02/1989	5.2
03/1989	5
04/1989	5.2
05/1989	5.2
06/1989	5.3
07/1989	5.2
08/1989	5.2
09/1989	5.3
10/1989	5.3
11/1989	5.4
12/1989	5.4
01/1990	5.4
02/1990	5.3
03/1990	5.2
04/1990	5.4
05/1990	5.4
06/1990	5.2
07/1990	5.5
08/1990	5.7
09/1990	5.9
10/1990	5.9
11/1990	6.2
12/1990	6.3
01/1991	6.4
02/1991	6.6
03/1991	6.8
04/1991	6.7
05/1991	6.9
06/1991	6.9
07/1991	6.8
08/1991	6.9
09/1991	6.9
10/1991	7
11/1991	7
12/1991	7.3
01/1992	7.3
02/1992	7.4
03/1992	7.4
04/1992	7.4
05/1992	7.6
06/1992	7.8
07/1992	7.7
08/1992	7.6
09/1992	7.6
10/1992	7.3
11/1992	7.4
12/1992	7.4
01/1993	7.3
02/1993	7.1
03/1993	7
04/1993	7.1
05/1993	7.1
06/1993	7
