year	u2
01/1967	1.6
02/1967	1.6
03/1967	1.5
04/1967	1.6
05/1967	1.6
06/1967	1.7
07/1967	1.6
08/1967	1.5
09/1967	1.6
10/1967	1.6
11/1967	1.6
12/1967	1.6
01/1968	1.6
02/1968	1.5
03/1968	1.5
04/1968	1.3
05/1968	1.3
06/1968	1.2
07/1968	1.3
08/1968	1.4
09/1968	1.3
10/1968	1.3
11/1968	1.3
12/1968	1.2
01/1969	1.2
02/1969	1.2
03/1969	1.2
04/1969	1.3
05/1969	1.2
06/1969	1.2
07/1969	1.3
08/1969	1.2
09/1969	1.2
10/1969	1.3
11/1969	1.3
12/1969	1.4
01/1970	1.5
02/1970	1.7
03/1970	1.8
04/1970	1.9
05/1970	2.2
06/1970	2.2
07/1970	2.2
08/1970	2.3
09/1970	2.5
10/1970	2.7
11/1970	2.8
12/1970	2.9
01/1971	2.8
02/1971	2.8
03/1971	2.7
04/1971	2.8
05/1971	2.8
06/1971	2.7
07/1971	2.8
08/1971	2.9
09/1971	2.8
10/1971	2.7
11/1971	2.8
12/1971	2.7
01/1972	2.6
02/1972	2.5
03/1972	2.5
04/1972	2.4
05/1972	2.6
06/1972	2.5
07/1972	2.5
08/1972	2.5
09/1972	2.4
10/1972	2.3
11/1972	2.2
12/1972	2.1
01/1973	2
02/1973	2
03/1973	1.9
04/1973	1.9
05/1973	1.8
06/1973	1.9
07/1973	1.8
08/1973	1.9
09/1973	1.9
10/1973	1.7
11/1973	1.9
12/1973	2
01/1974	2.2
02/1974	2.2
03/1974	2.2
04/1974	2.2
05/1974	2.1
06/1974	2.2
07/1974	2.3
08/1974	2.3
09/1974	2.5
10/1974	2.6
11/1974	3.1
12/1974	3.5
01/1975	4.2
02/1975	4.4
03/1975	4.7
04/1975	4.9
05/1975	5.2
06/1975	5.1
07/1975	4.9
08/1975	4.8
09/1975	5
10/1975	4.6
11/1975	4.5
12/1975	4.2
01/1976	3.9
02/1976	3.8
03/1976	3.8
04/1976	3.8
05/1976	3.7
06/1976	3.9
07/1976	3.9
08/1976	3.8
09/1976	3.8
10/1976	3.7
11/1976	3.8
12/1976	3.8
01/1977	3.5
02/1977	3.6
03/1977	3.4
04/1977	3.2
05/1977	3.1
06/1977	3.1
07/1977	3.1
08/1977	3.2
09/1977	3.1
10/1977	3
11/1977	3
12/1977	2.8
01/1978	2.8
02/1978	2.7
03/1978	2.6
04/1978	2.6
05/1978	2.5
06/1978	2.4
07/1978	2.5
08/1978	2.4
09/1978	2.4
10/1978	2.4
11/1978	2.4
12/1978	2.5
01/1979	2.5
02/1979	2.5
03/1979	2.5
04/1979	2.5
05/1979	2.2
06/1979	2.2
07/1979	2.4
08/1979	2.6
09/1979	2.5
10/1979	2.6
11/1979	2.7
