year	u2
12/1979	2.7
01/1980	3
02/1980	3
03/1980	3
04/1980	3.5
05/1980	3.9
06/1980	4.1
07/1980	4.3
08/1980	4.2
09/1980	4.1
10/1980	4
11/1980	3.9
12/1980	3.9
01/1981	3.7
02/1981	3.8
03/1981	3.7
04/1981	3.6
05/1981	3.7
06/1981	3.8
07/1981	3.6
08/1981	3.8
09/1981	4
10/1981	4.1
11/1981	4.4
12/1981	4.8
01/1982	4.9
02/1982	4.8
03/1982	5.2
04/1982	5.4
05/1982	5.4
06/1982	5.6
07/1982	5.8
08/1982	5.8
09/1982	6.2
10/1982	6.6
11/1982	6.6
12/1982	6.4
01/1983	6.2
02/1983	6.2
03/1983	6.2
04/1983	6.1
05/1983	6.1
06/1983	5.9
07/1983	5.5
08/1983	5.5
09/1983	5.3
10/1983	4.9
11/1983	4.7
12/1983	4.5
01/1984	4.3
02/1984	4.2
03/1984	4.1
04/1984	4
05/1984	3.8
06/1984	3.7
07/1984	3.9
08/1984	3.7
09/1984	3.7
10/1984	3.8
11/1984	3.6
12/1984	3.7
01/1985	3.7
02/1985	3.7
03/1985	3.6
04/1985	3.7
05/1985	3.4
06/1985	3.6
07/1985	3.7
08/1985	3.6
09/1985	3.6
10/1985	3.5
11/1985	3.5
12/1985	3.4
01/1986	3.2
02/1986	3.5
03/1986	3.6
04/1986	3.4
05/1986	3.6
06/1986	3.6
07/1986	3.5
08/1986	3.3
09/1986	3.4
10/1986	3.4
11/1986	3.3
12/1986	3.3
01/1987	3.3
02/1987	3.2
03/1987	3.2
04/1987	3.1
05/1987	3
06/1987	3
07/1987	2.9
08/1987	2.8
09/1987	2.8
10/1987	2.9
11/1987	2.7
12/1987	2.6
01/1988	2.6
02/1988	2.6
03/1988	2.6
04/1988	2.4
05/1988	2.7
06/1988	2.6
07/1988	2.6
08/1988	2.5
09/1988	2.5
10/1988	2.5
11/1988	2.5
12/1988	2.5
01/1989	2.5
02/1989	2.3
03/1989	2.3
04/1989	2.4
05/1989	2.2
06/1989	2.3
07/1989	2.4
08/1989	2.4
09/1989	2.4
10/1989	2.4
11/1989	2.5
12/1989	2.5
01/1990	2.5
02/1990	2.4
03/1990	2.4
04/1990	2.5
05/1990	2.5
06/1990	2.5
07/1990	2.6
08/1990	2.8
09/1990	2.9
10/1990	3
11/1990	3.1
12/1990	3.1
01/1991	3.4
02/1991	3.5
03/1991	3.7
04/1991	3.6
05/1991	3.7
06/1991	3.8
07/1991	3.8
08/1991	3.8
09/1991	3.8
10/1991	3.8
11/1991	3.8
12/1991	4
01/1992	4
02/1992	4.2
03/1992	4.2
04/1992	4.2
05/1992	4.4
06/1992	4.4
07/1992	4.3
08/1992	4.2
09/1992	4.3
10/1992	4.3
11/1992	4.1
12/1992	4
01/1993	3.9
02/1993	3.8
03/1993	3.9
04/1993	3.9
05/1993	3.8
06/1993	3.8
07/1993	3.8
08/1993	3.8
09/1993	3.7
10/1993	3.7
11/1993	3.5
12/1993	3.4
01/1994	3.3
02/1994	3.2
03/1994	3.1
04/1994	2.9
05/1994	2.7
06/1994	2.9
07/1994	2.9
08/1994	2.9
09/1994	2.8
10/1994	2.7
11/1994	2.7
12/1994	2.6
01/1995	2.7
02/1995	2.6
03/1995	2.6
04/1995	2.6
05/1995	2.7
06/1995	2.6
07/1995	2.6
08/1995	2.6
09/1995	2.6
10/1995	2.7
11/1995	2.7
12/1995	2.6
01/1996	2.7
02/1996	2.7
03/1996	2.6
04/1996	2.8
05/1996	2.6
06/1996	2.5
07/1996	2.5
08/1996	2.3
09/1996	2.4
10/1996	2.3
11/1996	2.5
12/1996	2.3
01/1997	2.4
02/1997	2.3
03/1997	2.3
04/1997	2.3
05/1997	2.2
06/1997	2.3
07/1997	2.1
08/1997	2.2
09/1997	2.2
10/1997	2.1
11/1997	2.1
12/1997	2.2
01/1998	2.1
02/1998	2.1
03/1998	2.2
04/1998	2
05/1998	2.1
06/1998	2
07/1998	2
08/1998	2
09/1998	2.1
10/1998	2.1
11/1998	2
12/1998	2
01/1999	2
02/1999	2
03/1999	1.9
04/1999	1.9
05/1999	1.9
06/1999	1.9
07/1999	1.9
08/1999	1.9
09/1999	1.8
10/1999	1.8
11/1999	1.8
12/1999	1.7
01/2000	1.8
02/2000	1.9
03/2000	1.8
04/2000	1.6
05/2000	1.7
06/2000	1.7
07/2000	1.7
08/2000	1.9
09/2000	1.8
10/2000	1.7
11/2000	1.8
12/2000	1.8
01/2001	1.9
02/2001	2
03/2001	2.1
04/2001	2.1
05/2001	2.2
06/2001	2.3
07/2001	2.3
08/2001	2.4
09/2001	2.5
10/2001	3
11/2001	3.1
12/2001	3.1
01/2002	3.1
02/2002	3.1
03/2002	3.1
04/2002	3.2
05/2002	3.2
06/2002	3.2
07/2002	3.2
08/2002	3.2
09/2002	3.1
10/2002	3.2
11/2002	3.3
12/2002	3.3
01/2003	3.2
02/2003	3.3
03/2003	3.3
04/2003	3.3
05/2003	3.5
06/2003	3.4
07/2003	3.4
08/2003	3.4
09/2003	3.4
10/2003	3.3
11/2003	3.2
12/2003	3.1
01/2004	3
02/2004	2.9
03/2004	3.1
04/2004	3
05/2004	2.9
06/2004	2.8
07/2004	2.9
08/2004	2.7
09/2004	2.7
10/2004	2.8
11/2004	2.7
12/2004	2.7
01/2005	2.7
02/2005	2.6
03/2005	2.5
04/2005	2.4
05/2005	2.4
06/2005	2.4
07/2005	2.4
08/2005	2.3
09/2005	2.5
10/2005	2.4
11/2005	2.3
12/2005	2.3
01/2006	2.2
02/2006	2.2
03/2006	2.3
04/2006	2.3
05/2006	2.3
06/2006	2.2
07/2006	2.2
08/2006	2.2
09/2006	2.1
10/2006	2.1
11/2006	2.1
12/2006	2.1
01/2007	2.2
02/2007	2.2
03/2007	2.1
04/2007	2.2
05/2007	2.2
06/2007	2.2
07/2007	2.4
08/2007	2.4
09/2007	2.3
10/2007	2.4
11/2007	2.4
12/2007	2.5
01/2008	2.5
02/2008	2.5
03/2008	2.7
04/2008	2.6
05/2008	2.8
06/2008	2.8
07/2008	2.9
08/2008	3.2
09/2008	3.4
10/2008	3.7
11/2008	4
12/2008	4.3
01/2009	4.8
02/2009	5.2
03/2009	5.5
04/2009	5.8
05/2009	6.1
06/2009	6.2
07/2009	6.1
08/2009	6.2
09/2009	6.5
10/2009	6.5
11/2009	6.3
12/2009	6.3
01/2010	6.1
02/2010	6.2
03/2010	6.2
04/2010	6.1
05/2010	6
06/2010	5.9
07/2010	5.9
08/2010	5.9
09/2010	5.9
10/2010	5.8
11/2010	6.2
12/2010	5.7
01/2011	5.5
02/2011	5.5
03/2011	5.4
04/2011	5.4
05/2011	5.4
06/2011	5.3
07/2011	5.3
08/2011	5.2
09/2011	5.2
10/2011	5.1
11/2011	5
12/2011	4.9
01/2012	4.7
02/2012	4.6
03/2012	4.5
04/2012	4.4
05/2012	4.5
06/2012	4.6
07/2012	4.6
08/2012	4.4
09/2012	4.2
10/2012	4.2
11/2012	4.2
12/2012	4.2
01/2013	4.3
02/2013	4.2
03/2013	4
04/2013	4.1
05/2013	3.9
06/2013	3.9
07/2013	3.8
08/2013	3.8
09/2013	3.8
10/2013	4
11/2013	3.7
12/2013	3.5
01/2014	3.4
02/2014	3.5
03/2014	3.4
04/2014	3.3
05/2014	3.2
06/2014	3.1
07/2014	3.1
08/2014	3
09/2014	2.9
10/2014	2.8
11/2014	2.9
12/2014	2.8
01/2015	2.7
02/2015	2.7
03/2015	2.6
04/2015	2.6
05/2015	2.8
06/2015	2.6
07/2015	2.6
08/2015	2.5
09/2015	2.5
10/2015	2.5
11/2015	2.5
12/2015	2.4
01/2016	2.2
02/2016	2.3
03/2016	2.4
04/2016	2.5
05/2016	2.4
06/2016	2.4
07/2016	2.3
08/2016	2.3
09/2016	2.4
10/2016	2.3
11/2016	2.2
12/2016	2.3
01/2017	2.3
02/2017	2.3
03/2017	2.2
04/2017	2.3
05/2017	2.1
06/2017	2.2
07/2017	2.1
08/2017	2.2
09/2017	2.1
10/2017	2
11/2017	2
12/2017	2
01/2018	2
02/2018	2
03/2018	1.9
04/2018	1.9
05/2018	1.8
06/2018	1.9
07/2018	1.8
08/2018	1.7
09/2018	1.7
10/2018	1.8
11/2018	1.8
12/2018	1.8
01/2019	1.9
02/2019	1.7
03/2019	1.7
04/2019	1.7
05/2019	1.7
06/2019	1.7
07/2019	1.7
08/2019	1.7
09/2019	1.5
10/2019	1.7
11/2019	1.7
12/2019	1.6
01/2020	1.6
02/2020	1.6
03/2020	2.6
04/2020	13.2
05/2020	11.5
06/2020	8.9
07/2020	8.1
08/2020	6.4
09/2020	5.6
10/2020	4.8
11/2020	4.7
12/2020	4.5
01/2021	4.4
02/2021	4.1
03/2021	3.9
04/2021	4
05/2021	3.6
06/2021	3.6
