year	u1
01/1948	0.5
02/1948	0.5
03/1948	0.5
04/1948	0.5
05/1948	0.5
06/1948	0.5
07/1948	0.5
08/1948	0.5
09/1948	0.5
10/1948	0.5
11/1948	0.5
12/1948	0.5
01/1949	0.5
02/1949	0.6
03/1949	0.7
04/1949	0.8
05/1949	1
06/1949	1.2
07/1949	1.4
08/1949	1.5
09/1949	1.6
10/1949	1.6
11/1949	1.7
12/1949	1.6
01/1950	1.5
02/1950	1.5
03/1950	1.5
04/1950	1.5
05/1950	1.4
06/1950	1.4
07/1950	1.2
08/1950	1
09/1950	1
10/1950	0.9
11/1950	0.8
12/1950	0.8
01/1951	0.7
02/1951	0.6
03/1951	0.6
04/1951	0.5
05/1951	0.4
06/1951	0.4
07/1951	0.4
08/1951	0.4
09/1951	0.4
10/1951	0.4
11/1951	0.5
12/1951	0.4
01/1952	0.5
02/1952	0.4
03/1952	0.4
04/1952	0.4
05/1952	0.4
06/1952	0.3
07/1952	0.3
08/1952	0.3
09/1952	0.4
10/1952	0.4
11/1952	0.3
12/1952	0.4
01/1953	0.4
02/1953	0.3
03/1953	0.3
04/1953	0.3
05/1953	0.3
06/1953	0.3
07/1953	0.3
08/1953	0.3
09/1953	0.3
10/1953	0.3
11/1953	0.4
12/1953	0.5
01/1954	0.6
02/1954	0.8
03/1954	1.2
04/1954	1.2
05/1954	1.4
06/1954	1.4
07/1954	1.5
08/1954	1.6
09/1954	1.6
10/1954	1.6
11/1954	1.5
12/1954	1.3
01/1955	1.4
02/1955	1.3
03/1955	1.3
04/1955	1.3
05/1955	1.1
06/1955	1
07/1955	1
08/1955	0.8
09/1955	0.9
10/1955	0.9
11/1955	0.9
12/1955	0.9
01/1956	0.8
02/1956	0.8
03/1956	0.8
04/1956	0.7
05/1956	0.8
06/1956	0.8
07/1956	0.8
08/1956	0.8
09/1956	0.9
10/1956	0.8
11/1956	0.9
12/1956	0.9
01/1957	0.8
02/1957	0.8
03/1957	0.8
04/1957	0.8
05/1957	0.8
06/1957	0.8
07/1957	0.8
08/1957	0.8
09/1957	0.8
10/1957	1
11/1957	1
12/1957	1.1
01/1958	1.3
02/1958	1.5
03/1958	1.7
04/1958	2.1
05/1958	2.2
06/1958	2.5
07/1958	2.6
08/1958	2.8
09/1958	2.6
10/1958	2.5
11/1958	2.3
12/1958	2.2
01/1959	2.1
02/1959	1.9
03/1959	1.8
04/1959	1.5
05/1959	1.4
06/1959	1.4
07/1959	1.3
