year	u1
08/1959	1.3
09/1959	1.3
10/1959	1.3
11/1959	1.4
12/1959	1.3
01/1960	1.3
02/1960	1.2
03/1960	1.4
04/1960	1.3
05/1960	1.1
06/1960	1.2
07/1960	1.3
08/1960	1.3
09/1960	1.4
10/1960	1.7
11/1960	1.7
12/1960	1.6
01/1961	1.9
02/1961	2
03/1961	2.1
04/1961	2.3
05/1961	2.4
06/1961	2.3
07/1961	2.6
08/1961	2.3
09/1961	2.2
10/1961	2.1
11/1961	2
12/1961	1.9
01/1962	1.8
02/1962	1.8
03/1962	1.7
04/1962	1.6
05/1962	1.6
06/1962	1.5
07/1962	1.5
08/1962	1.5
09/1962	1.5
10/1962	1.4
11/1962	1.5
12/1962	1.5
01/1963	1.6
02/1963	1.6
03/1963	1.5
04/1963	1.5
05/1963	1.6
06/1963	1.5
07/1963	1.5
08/1963	1.6
09/1963	1.5
10/1963	1.5
11/1963	1.5
12/1963	1.4
01/1964	1.5
02/1964	1.4
03/1964	1.4
04/1964	1.3
05/1964	1.3
06/1964	1.4
07/1964	1.4
08/1964	1.3
09/1964	1.3
10/1964	1.2
11/1964	1.3
12/1964	1.2
01/1965	1.1
02/1965	1.2
03/1965	1.1
04/1965	1.1
05/1965	1
06/1965	1.1
07/1965	0.9
08/1965	1
09/1965	1
10/1965	0.9
11/1965	0.9
12/1965	0.9
01/1966	0.8
02/1966	0.8
03/1966	0.8
04/1966	0.8
05/1966	0.7
06/1966	0.6
07/1966	0.6
08/1966	0.6
09/1966	0.6
10/1966	0.6
11/1966	0.6
12/1966	0.6
01/1967	0.6
02/1967	0.6
03/1967	0.6
04/1967	0.6
05/1967	0.5
06/1967	0.5
07/1967	0.5
08/1967	0.6
09/1967	0.6
10/1967	0.6
11/1967	0.6
12/1967	0.6
01/1968	0.6
02/1968	0.6
03/1968	0.6
04/1968	0.5
05/1968	0.5
06/1968	0.5
07/1968	0.5
08/1968	0.5
09/1968	0.5
10/1968	0.5
11/1968	0.5
12/1968	0.4
01/1969	0.4
02/1969	0.4
03/1969	0.4
04/1969	0.5
05/1969	0.5
06/1969	0.5
07/1969	0.5
08/1969	0.5
09/1969	0.5
10/1969	0.5
11/1969	0.5
12/1969	0.5
01/1970	0.5
02/1970	0.6
03/1970	0.6
04/1970	0.7
05/1970	0.7
06/1970	0.8
07/1970	0.8
08/1970	0.9
09/1970	0.9
10/1970	0.9
11/1970	1
12/1970	1.3
01/1971	1.3
02/1971	1.3
03/1971	1.3
04/1971	1.4
05/1971	1.4
06/1971	1.4
07/1971	1.5
08/1971	1.5
09/1971	1.5
10/1971	1.5
11/1971	1.5
12/1971	1.5
01/1972	1.5
02/1972	1.5
03/1972	1.4
04/1972	1.4
05/1972	1.3
06/1972	1.3
07/1972	1.3
08/1972	1.3
09/1972	1.3
10/1972	1.3
11/1972	1.2
12/1972	1.1
01/1973	1.1
02/1973	1
03/1973	1
04/1973	0.9
05/1973	0.9
06/1973	0.9
07/1973	0.8
08/1973	0.9
09/1973	0.9
10/1973	0.9
11/1973	0.9
12/1973	0.8
01/1974	0.9
02/1974	0.9
03/1974	0.9
04/1974	1
05/1974	1
06/1974	1
07/1974	1
08/1974	1
09/1974	1.1
10/1974	1.2
11/1974	1.2
12/1974	1.4
01/1975	1.7
02/1975	2
03/1975	2.2
04/1975	2.6
05/1975	2.8
06/1975	3
07/1975	3.1
08/1975	3
09/1975	3.1
10/1975	2.9
11/1975	3
12/1975	3
01/1976	2.9
02/1976	2.7
03/1976	2.6
04/1976	2.3
05/1976	2.2
06/1976	2.4
07/1976	2.4
08/1976	2.5
09/1976	2.4
10/1976	2.4
11/1976	2.4
12/1976	2.4
01/1977	2.3
02/1977	2.2
03/1977	2.1
04/1977	2
05/1977	2
06/1977	1.9
07/1977	1.9
08/1977	1.8
09/1977	1.9
10/1977	1.8
11/1977	1.8
12/1977	1.7
01/1978	1.6
02/1978	1.6
03/1978	1.5
04/1978	1.5
05/1978	1.4
06/1978	1.3
07/1978	1.3
08/1978	1.2
09/1978	1.3
10/1978	1.3
11/1978	1.2
12/1978	1.2
01/1979	1.2
02/1979	1.2
03/1979	1.3
04/1979	1.2
05/1979	1.2
06/1979	1.1
07/1979	1.1
08/1979	1.1
09/1979	1.1
10/1979	1.2
11/1979	1.2
12/1979	1.2
01/1980	1.3
02/1980	1.3
03/1980	1.4
04/1980	1.6
05/1980	1.6
06/1980	1.6
07/1980	1.9
08/1980	2
09/1980	2.2
10/1980	2.1
11/1980	2.2
12/1980	2.2
01/1981	2.2
02/1981	2.2
03/1981	2.1
04/1981	2
05/1981	2
06/1981	2.1
07/1981	2
08/1981	2.1
09/1981	2.1
10/1981	2.1
11/1981	2.1
12/1981	2.2
01/1982	2.2
02/1982	2.5
03/1982	2.7
04/1982	2.8
05/1982	3
06/1982	3.1
07/1982	3.2
08/1982	3.3
09/1982	3.5
10/1982	3.8
11/1982	4
12/1982	4.2
01/1983	4.2
02/1983	4.2
03/1983	4.2
04/1983	3.9
05/1983	4.1
06/1983	4
07/1983	3.9
08/1983	3.6
09/1983	3.4
10/1983	3.3
11/1983	3.1
12/1983	3
01/1984	2.9
02/1984	2.7
03/1984	2.6
04/1984	2.5
05/1984	2.5
06/1984	2.3
07/1984	2.3
08/1984	2.3
09/1984	2.2
10/1984	2.2
11/1984	2.1
12/1984	2.1
01/1985	2
02/1985	2.1
03/1985	2.1
04/1985	2.1
05/1985	2
06/1985	2
07/1985	2
08/1985	2
09/1985	1.9
10/1985	2
11/1985	1.9
12/1985	1.9
01/1986	1.8
02/1986	2
03/1986	1.9
04/1986	1.8
05/1986	1.9
06/1986	2
07/1986	1.9
08/1986	1.9
09/1986	2
10/1986	1.8
11/1986	1.9
12/1986	1.8
01/1987	1.8
02/1987	1.8
03/1987	1.7
04/1987	1.8
05/1987	1.8
06/1987	1.7
07/1987	1.6
08/1987	1.6
09/1987	1.6
10/1987	1.5
11/1987	1.5
12/1987	1.5
01/1988	1.4
02/1988	1.4
03/1988	1.4
04/1988	1.3
05/1988	1.4
06/1988	1.3
07/1988	1.3
08/1988	1.3
09/1988	1.3
10/1988	1.3
11/1988	1.2
12/1988	1.2
01/1989	1.2
02/1989	1.1
03/1989	1.1
04/1989	1.1
05/1989	1.1
06/1989	1
07/1989	1.2
08/1989	1
09/1989	1.1
10/1989	1.1
11/1989	1.1
12/1989	1.1
01/1990	1.1
02/1990	1.1
03/1990	1.1
04/1990	1.1
05/1990	1.1
06/1990	1.1
07/1990	1.2
08/1990	1.3
09/1990	1.3
10/1990	1.3
11/1990	1.5
12/1990	1.4
01/1991	1.5
02/1991	1.6
03/1991	1.7
04/1991	1.7
05/1991	1.8
06/1991	2
07/1991	1.9
08/1991	2
09/1991	2
10/1991	2.1
11/1991	2.1
12/1991	2.3
01/1992	2.4
02/1992	2.5
03/1992	2.5
04/1992	2.4
05/1992	2.7
06/1992	2.9
07/1992	2.8
08/1992	2.8
09/1992	2.7
10/1992	2.7
11/1992	2.6
12/1992	2.8
01/1993	2.6
02/1993	2.5
03/1993	2.4
04/1993	2.3
05/1993	2.4
06/1993	2.4
07/1993	2.4
08/1993	2.3
09/1993	2.4
10/1993	2.3
11/1993	2.3
12/1993	2.3
01/1994	2.3
02/1994	2.4
03/1994	2.3
04/1994	2.2
05/1994	2.2
06/1994	2.1
07/1994	2.2
08/1994	2.1
09/1994	2.1
10/1994	2.2
11/1994	2
12/1994	1.9
01/1995	1.8
02/1995	1.8
03/1995	1.7
04/1995	1.9
05/1995	2
06/1995	1.7
07/1995	1.7
08/1995	1.8
09/1995	1.7
10/1995	1.7
11/1995	1.8
12/1995	1.8
01/1996	1.8
02/1996	1.7
03/1996	1.8
04/1996	1.8
05/1996	1.8
06/1996	1.8
07/1996	1.7
08/1996	1.7
09/1996	1.7
10/1996	1.7
11/1996	1.6
12/1996	1.6
01/1997	1.6
02/1997	1.6
03/1997	1.6
04/1997	1.6
05/1997	1.6
06/1997	1.5
07/1997	1.6
08/1997	1.5
09/1997	1.5
10/1997	1.4
11/1997	1.3
12/1997	1.4
01/1998	1.3
02/1998	1.3
03/1998	1.3
04/1998	1.1
05/1998	1.1
06/1998	1.2
07/1998	1.1
08/1998	1.2
09/1998	1.2
10/1998	1.1
11/1998	1.1
12/1998	1.1
01/1999	1.1
02/1999	1.1
03/1999	1.1
04/1999	1.1
05/1999	1.1
06/1999	1.2
07/1999	1.1
08/1999	1
09/1999	1
10/1999	1
11/1999	1
12/1999	1
01/2000	1
02/2000	0.9
03/2000	0.9
04/2000	0.9
05/2000	0.9
06/2000	0.9
07/2000	0.9
08/2000	1
09/2000	0.9
10/2000	0.9
11/2000	0.9
12/2000	0.9
01/2001	1
02/2001	1
03/2001	1.1
04/2001	1
05/2001	1
06/2001	1.1
07/2001	1.2
08/2001	1.3
09/2001	1.4
10/2001	1.4
11/2001	1.6
12/2001	1.7
01/2002	1.8
02/2002	1.8
03/2002	1.9
04/2002	2
05/2002	2
06/2002	2.1
07/2002	2
08/2002	2
09/2002	2
10/2002	2.1
11/2002	2.1
12/2002	2.3
01/2003	2.2
02/2003	2.2
03/2003	2.2
04/2003	2.3
05/2003	2.3
06/2003	2.4
07/2003	2.5
08/2003	2.4
09/2003	2.4
10/2003	2.4
11/2003	2.3
12/2003	2.3
01/2004	2.3
02/2004	2.2
03/2004	2.3
04/2004	2
05/2004	2.1
06/2004	2.1
07/2004	2
08/2004	1.9
09/2004	2
10/2004	2.1
11/2004	2
12/2004	2
01/2005	1.9
02/2005	2
03/2005	1.9
04/2005	1.8
05/2005	1.8
06/2005	1.6
07/2005	1.6
08/2005	1.7
09/2005	1.7
10/2005	1.7
11/2005	1.7
12/2005	1.6
01/2006	1.5
02/2006	1.7
03/2006	1.6
04/2006	1.6
05/2006	1.5
06/2006	1.4
07/2006	1.5
08/2006	1.5
09/2006	1.5
10/2006	1.4
11/2006	1.4
12/2006	1.4
01/2007	1.4
02/2007	1.4
03/2007	1.5
04/2007	1.5
05/2007	1.5
06/2007	1.5
07/2007	1.5
08/2007	1.5
09/2007	1.5
10/2007	1.5
11/2007	1.5
12/2007	1.6
01/2008	1.6
02/2008	1.6
03/2008	1.6
04/2008	1.7
05/2008	1.8
06/2008	1.9
07/2008	2
08/2008	2.2
09/2008	2.3
10/2008	2.6
11/2008	2.5
12/2008	2.9
01/2009	3.1
02/2009	3.5
03/2009	3.8
04/2009	4.1
05/2009	4.5
06/2009	5.1
07/2009	5.1
08/2009	5.1
09/2009	5.5
10/2009	5.6
11/2009	5.7
12/2009	5.8
01/2010	5.8
02/2010	5.8
03/2010	5.9
04/2010	5.9
05/2010	5.8
06/2010	5.8
07/2010	5.7
08/2010	5.5
09/2010	5.5
10/2010	5.6
11/2010	5.6
12/2010	5.6
01/2011	5.5
02/2011	5.3
03/2011	5.3
04/2011	5.2
05/2011	5.3
06/2011	5.3
07/2011	5.3
08/2011	5.4
09/2011	5.4
10/2011	5.1
11/2011	5
12/2011	4.9
01/2012	4.8
02/2012	4.7
03/2012	4.6
04/2012	4.6
05/2012	4.6
06/2012	4.7
07/2012	4.5
08/2012	4.5
09/2012	4.4
10/2012	4.4
11/2012	4.2
12/2012	4.3
01/2013	4.2
02/2013	4.2
03/2013	4.1
04/2013	4.1
05/2013	4.1
06/2013	4
07/2013	3.9
08/2013	3.8
09/2013	3.8
10/2013	3.7
11/2013	3.7
12/2013	3.6
01/2014	3.4
02/2014	3.5
03/2014	3.5
04/2014	3.2
05/2014	3.1
06/2014	3
07/2014	3
08/2014	2.9
09/2014	2.8
10/2014	2.7
11/2014	2.7
12/2014	2.6
01/2015	2.6
02/2015	2.5
03/2015	2.4
04/2015	2.3
05/2015	2.4
06/2015	2.3
07/2015	2.2
08/2015	2.2
09/2015	2.1
10/2015	2.1
11/2015	2.1
12/2015	2.1
01/2016	2
02/2016	2.1
03/2016	2.1
04/2016	2.1
05/2016	1.9
06/2016	2
07/2016	2
08/2016	1.9
09/2016	2
10/2016	2
11/2016	1.9
12/2016	1.9
01/2017	1.9
02/2017	1.8
03/2017	1.7
04/2017	1.7
05/2017	1.7
06/2017	1.6
07/2017	1.7
08/2017	1.7
09/2017	1.7
10/2017	1.6
11/2017	1.6
12/2017	1.5
01/2018	1.5
02/2018	1.4
03/2018	1.4
04/2018	1.5
05/2018	1.3
06/2018	1.4
07/2018	1.5
08/2018	1.4
09/2018	1.4
10/2018	1.4
11/2018	1.3
12/2018	1.4
01/2019	1.3
02/2019	1.4
03/2019	1.4
04/2019	1.3
05/2019	1.3
06/2019	1.3
07/2019	1.3
08/2019	1.3
09/2019	1.3
10/2019	1.3
11/2019	1.3
12/2019	1.2
01/2020	1.2
02/2020	1.2
03/2020	1.2
04/2020	1.1
05/2020	1.4
06/2020	2
07/2020	5
08/2020	5.1
09/2020	4.6
10/2020	3.8
11/2020	3.6
12/2020	3.4
01/2021	3.4
02/2021	3.5
03/2021	3.5
04/2021	3.3
05/2021	3.1
06/2021	3.3
