year	lu1
2005	6
2006	5.5
2007	5.6
2008	7.1
2009	11
2010	10.9
2011	10.1
2012	9.1
2013	8.4
2014	7
2015	6.1
2016	5.7
2017	5.1
2018	4.6
2019	4.4
