year	lu3
2005	6.05
2006	5.53
2007	5.49
2008	6.73
2009	10.44
2010	10.93
2011	10.26
2012	9.41
2013	8.65
2014	7.4
2015	6.41
2016	5.91
2017	5.3
2018	4.78
2019	4.48
